date,no2,month,dayofmonth,dayofweek
13/1/2013,33.13710143,1,13,6
13/1/2013,30.23157071,1,13,6
13/1/2013,29.50649429,1,13,6
13/1/2013,30.82717643,1,13,6
13/1/2013,34.94574571,1,13,6
13/1/2013,38.64507,1,13,6
13/1/2013,44.13923643,1,13,6
13/1/2013,43.87261357,1,13,6
13/1/2013,41.07780286,1,13,6
13/1/2013,42.660225,1,13,6
13/1/2013,43.21727714,1,13,6
13/1/2013,44.31901143,1,13,6
13/1/2013,47.31787929,1,13,6
13/1/2013,51.68278571,1,13,6
13/1/2013,57.11828143,1,13,6
13/1/2013,65.66681429,1,13,6
13/1/2013,65.97677643,1,13,6
13/1/2013,60.25307286,1,13,6
13/1/2013,58.55894,1,13,6
13/1/2013,60.369975,1,13,6
13/1/2013,61.14952286,1,13,6
14/1/2013,60.74345231,1,14,0
14/1/2013,59.09061571,1,14,0
14/1/2013,54.62106929,1,14,0
14/1/2013,54.67253429,1,14,0
14/1/2013,46.34670571,1,14,0
14/1/2013,47.87906357,1,14,0
14/1/2013,59.05004214,1,14,0
14/1/2013,68.74139714,1,14,0
14/1/2013,72.90470643,1,14,0
14/1/2013,67.96581071,1,14,0
14/1/2013,62.88870357,1,14,0
14/1/2013,59.90335929,1,14,0
14/1/2013,64.12383714,1,14,0
14/1/2013,70.09251071,1,14,0
14/1/2013,68.22806143,1,14,0
14/1/2013,75.28279714,1,14,0
14/1/2013,77.10605857,1,14,0
14/1/2013,78.90240786,1,14,0
14/1/2013,74.89373929,1,14,0
14/1/2013,58.75678143,1,14,0
14/1/2013,44.31494714,1,14,0
14/1/2013,41.41737357,1,14,0
14/1/2013,41.92428857,1,14,0
14/1/2013,36.14228857,1,14,0
15/1/2013,30.95013462,1,15,1
15/1/2013,24.07445929,1,15,1
15/1/2013,22.789725,1,15,1
15/1/2013,25.81923,1,15,1
15/1/2013,28.42921143,1,15,1
15/1/2013,32.76795571,1,15,1
15/1/2013,45.99531786,1,15,1
15/1/2013,63.72508071,1,15,1
15/1/2013,67.82179214,1,15,1
15/1/2013,61.08606929,1,15,1
15/1/2013,56.19177643,1,15,1
15/1/2013,55.22121857,1,15,1
15/1/2013,50.36729286,1,15,1
15/1/2013,53.07095286,1,15,1
15/1/2013,53.71193846,1,15,1
15/1/2013,66.28397214,1,15,1
15/1/2013,74.35950429,1,15,1
15/1/2013,81.69848286,1,15,1
15/1/2013,82.15902,1,15,1
15/1/2013,77.20991286,1,15,1
15/1/2013,71.78855643,1,15,1
15/1/2013,68.68682214,1,15,1
15/1/2013,69.46121571,1,15,1
15/1/2013,69.63969143,1,15,1
16/1/2013,67.59760769,1,16,2
16/1/2013,59.73221357,1,16,2
16/1/2013,55.41632786,1,16,2
16/1/2013,53.60635143,1,16,2
16/1/2013,50.20227286,1,16,2
16/1/2013,53.61984071,1,16,2
16/1/2013,65.77524714,1,16,2
16/1/2013,73.383445,1,16,2
16/1/2013,72.84256462,1,16,2
16/1/2013,69.04049929,1,16,2
16/1/2013,70.555165,1,16,2
16/1/2013,73.40765786,1,16,2
16/1/2013,74.66957833,1,16,2
16/1/2013,73.37346846,1,16,2
16/1/2013,75.46486,1,16,2
16/1/2013,75.12233692,1,16,2
16/1/2013,80.40353714,1,16,2
16/1/2013,86.86271214,1,16,2
16/1/2013,90.64017143,1,16,2
16/1/2013,93.11416143,1,16,2
16/1/2013,94.03035143,1,16,2
16/1/2013,87.648065,1,16,2
16/1/2013,83.06704786,1,16,2
16/1/2013,77.75220857,1,16,2
17/1/2013,76.03222231,1,17,3
17/1/2013,71.69369571,1,17,3
17/1/2013,68.602435,1,17,3
17/1/2013,66.31979643,1,17,3
17/1/2013,65.20276,1,17,3
17/1/2013,68.30790857,1,17,3
17/1/2013,88.71025357,1,17,3
17/1/2013,108.8203293,1,17,3
17/1/2013,130.4817821,1,17,3
17/1/2013,132.0724364,1,17,3
17/1/2013,139.05955,1,17,3
17/1/2013,121.85142,1,17,3
17/1/2013,110.9019486,1,17,3
17/1/2013,109.5823564,1,17,3
17/1/2013,106.7348514,1,17,3
17/1/2013,100.1053729,1,17,3
17/1/2013,90.93380786,1,17,3
17/1/2013,95.31329714,1,17,3
17/1/2013,94.53579786,1,17,3
17/1/2013,84.57396,1,17,3
17/1/2013,83.76176143,1,17,3
17/1/2013,73.87977214,1,17,3
17/1/2013,65.05344857,1,17,3
17/1/2013,56.51031071,1,17,3
18/1/2013,52.21949077,1,18,4
18/1/2013,36.00818643,1,18,4
18/1/2013,27.34595071,1,18,4
18/1/2013,30.356395,1,18,4
18/1/2013,42.14204143,1,18,4
18/1/2013,48.63129,1,18,4
18/1/2013,52.27491,1,18,4
18/1/2013,53.82256571,1,18,4
18/1/2013,57.86555643,1,18,4
18/1/2013,61.21574357,1,18,4
18/1/2013,58.87211214,1,18,4
18/1/2013,59.88935643,1,18,4
18/1/2013,62.06936857,1,18,4
18/1/2013,60.14757857,1,18,4
18/1/2013,55.79432071,1,18,4
